1914-1918 Itzaletik Argira bertso ekitaldi berezia: Amets Arzallus + Sustrai Colina;Bertsolarismo;10/11/2018;10/11/2018;10;Euskera;Bayonne
1937 El Musical;Teatro;05/06/2018;05/06/2018;22;Espanyol;Pamplona/Irunya
1937 Musikala;Teatro;04/05/2018;04/05/2018;22;Espanyol;Baranyain/Baranyain
1966, gaur. Euskal artea frankismoaren garaian - Ihardokitzea eta abangoardia;Exposicion;30/06/2018;04/11/2018;27;Espanyol;Bayonne
1er maraton de Lectura imposible;otros;30/09/2018;30/09/2018;15;Espanyol;Vitoria-Gasteiz
20 Aniversario de Kimuak: Seleccion de cortometrajes;Proyeccion audiovisual;29/12/2018;29/12/2018;10;Espanyol;Bilbao
20 Aniversario de NEKaToENEa;otros;07/04/2018;24/06/2018;18;Euskera;Hendaye
20 Aniversario de Urbeltzen Dantza Ganbera;Danza;07/11/2018;07/11/2018;Gratis;Espanyol;Bilbao
20 naufragios del litoral vasco, exposicion de mapas, paneles y objetos de naufragios;Exposicion;11/05/2018;29/07/2018;27;Espanyol;Bermeo
20 urte arte sorkuntza eremu natural babestuan;Exposicion;07/04/2018;24/06/2018;18;Euskera;Hendaye
20. aniversario de Plazara Goaz: Koldo Izagirre;Conferencia;27/10/2018;27/10/2018;Gratis;Euskera;Donostia / San Sebastian
2018 Conferencia Patrimonio Cultural: Innovando el pasado y el futuro;Conferencia;11/12/2018;12/12/2018;10;Espanyol;Vitoria-Gasteiz
2018 d.c. Paleolitico;Exposicion;17/04/2018;20/05/2018;18;Espanyol;Galdames
2018 d.c. Paleolitico;Exposicion;10/01/2018;18/02/2018;35;Espanyol;Karrantza Harana/Valle de Carranza
2018ko Hatsaren Poesia olerki-liburuaren aurkezpena;otros;08/04/2018;08/04/2018;18;Euskera;Saint-Pee-sur-Nivelle
2019ko Arabako Bertsolari Txapelketarako sailkapenak (Agurain);Bertsolarismo;27/10/2018;27/10/2018;10;Euskera;Agurain/Salvatierra
2019ko Arabako Bertsolari Txapelketarako sailkapenak (Maeztu);Bertsolarismo;20/10/2018;20/10/2018;15;Euskera;Arraia-Maeztu
20800, exposicion fotografica de Ione Saizar;Exposicion;09/08/2018;09/09/2018;20;Espanyol;Zarautz
21 nuits avec Pattie;Proyeccion audiovisual;18/05/2018;18/05/2018;Gratis;Frances;Irun
22 de Noviembre en Bilbo: organizadas, mujeres tejiendo la historia Ciclo cine-foro guatemalteco;Concierto;22/11/2018;22/11/2018;Gratis;Espanyol;Bilbao
24 horas;Danza;17/03/2018;17/03/2018;22;Espanyol;Bilbao
24 horas en la vida de una mujer;Teatro;18/03/2018;18/03/2018;9;Espanyol;Pamplona/Irunya
25 Aniversario ATERPE (Fotografia);otros;14/05/2018;19/05/2018;Gratis;Espanyol;Lasarte-oria
2D1 + Gari: Bidelagunak;Concierto;17/05/2018;17/05/2018;27;Euskera;Bilbao
2x4;Actividad infantil;28/12/2018;28/12/2018;34;Espanyol;Hondarribia
2x4;Actividad infantil;20/10/2018;20/10/2018;Gratis;Espanyol;Donostia / San Sebastian
2zio + Acto Messie;Concierto;11/05/2018;11/05/2018;9;Espanyol;Hondarribia
2zio + La Basu;Concierto;16/11/2018;16/11/2018;6;Espanyol;Legorreta
3, 2, 1... Zinegoak!;Festivales (Gazteinformazioa);14/02/2018;18/02/2018;Gratis;Espanyol;Bilbao
3. Hazparneko Kantu Alai;Concierto;28/09/2018;28/09/2018;15;Euskera;Hasparren
30 Aniversario de Harizti Dantza Taldea;Danza;03/02/2018;03/02/2018;6;Espanyol;Baranyain/Baranyain
30 elefantes bajo un paraguas;Actividad infantil;29/04/2018;29/04/2018;34;Espanyol;Noain (Valle de Erlorz)/Noain (Elortzibar)
30 elefantes bajo un paraguas;Actividad infantil;04/03/2018;04/03/2018;34;Espanyol;Aranguren
30 elefantes bajo un paraguas;Actividad infantil;18/03/2018;18/03/2018;34;Espanyol;Altsasu/Alsasua
360º Hzuzenean: Ainara Legardon & Banda;Concierto;25/05/2018;25/05/2018;6;Euskera;Berriz
39 grietas;Teatro;10/03/2018;10/03/2018;12;Espanyol;Errenteria
3º Encuentro de escuelas de musica tradicional y folk;otros;15/12/2018;15/12/2018;10;Espanyol;Vitoria-Gasteiz
3txulo: Berriro Gabonak!;Actividad infantil;23/12/2018;23/12/2018;6;Euskera;Bilbao
4 Sasuak;Concierto;23/09/2018;23/09/2018;9;Espanyol;Larraul
4 Tragos;Concierto;19/05/2018;19/05/2018;Gratis;Espanyol;Mungia
40 aniversario de la Filmoteca Vasca y 20 aniversario de Kimuak: Ama Lur;Proyeccion audiovisual;05/04/2018;05/04/2018;34;Euskera / Espanyol;Donostia / San Sebastian
40 aniversario de la Filmoteca Vasca y 20 aniversario de Kimuak: Faraon - Faraon;Proyeccion audiovisual;12/04/2018;12/04/2018;34;Espanyol;Donostia / San Sebastian
40 aniversario de la Filmoteca Vasca y 20 aniversario de Kimuak: Karramarro Uhartea;Proyeccion audiovisual;15/04/2018;15/04/2018;34;Euskera;Donostia / San Sebastian
40 aniversario de la Filmoteca Vasca y 20 aniversario de Kimuak: Seleccion de cortos;Proyeccion audiovisual;19/04/2018;19/04/2018;34;Espanyol;Donostia / San Sebastian
40 aniversario de la Filmoteca Vasca y el 20 aniversario de Kimuak: Seleccion de cortos;Proyeccion audiovisual;19/04/2018;19/04/2018;34;Espanyol;Donostia / San Sebastian
40 Aniversario de la Filmoteca Vasca: Mercedes alvarez Cinco elementos para cualquier universo + Mercado de futuros;Proyeccion audiovisual;29/11/2018;29/11/2018;10;Espanyol;Bilbao
40 minutu rock 2018;Festivales (Gazteinformazioa);24/02/2018;24/02/2018;22;Espanyol;Durango
46. Udako Ikastaroak;Curso-taller;16/06/2018;13/07/2018;27;Euskera;Bayonne
47SoUL + La Basu;Concierto;21/09/2018;21/09/2018;15;Espanyol;Errenteria
5, 4, 3, 2, 1... EscenarioS!;Exposicion;11/01/2018;25/01/2018;35;Espanyol;Pamplona/Irunya
5, 4, 3, 2, 1... EscenarioS!;Exposicion;09/02/2018;23/02/2018;35;Espanyol;Pamplona/Irunya
5, un espectaculo de magia diferente;Teatro;12/10/2018;12/10/2018;15;Euskera / Espanyol;Durango
50 aniversario del grupo de danza Beti Jai Alai de Basurto;otros;21/04/2018;21/04/2018;18;Espanyol;Bilbao
50 Aniversario Escolania Samaniego. Teatro Principal Antzokia;Concierto;23/06/2018;23/06/2018;34;Espanyol;Vitoria-Gasteiz
50 urte, ehun jantzi;otros;17/03/2018;17/03/2018;Gratis;Espanyol;Lasarte-oria
5º Festival de Magia Familiar;Actividad infantil;04/02/2018;04/02/2018;9;Espanyol;Baranyain/Baranyain
6ª edicion del Workshop Kabia Teatro;Jornada;02/07/2018;07/07/2018;34;Espanyol;Bilbao
6º Encuentro en torno a las publicaciones de musica en el Pais Vasco;Jornada;23/05/2018;23/05/2018;27;Espanyol;Donostia / San Sebastian
7 anyos;Teatro;30/11/2018;30/11/2018;22;Espanyol;Santurtzi
7 Bekatu Nagusiak, Anne Broitman-en erakusketa;Exposicion;28/09/2018;03/11/2018;15;Espanyol;Tolosa
78ko Sanferminak - Memoriaren Bertsoak;Bertsolarismo;23/05/2018;23/05/2018;27;Euskera;Pamplona/Irunya
7ak bat. Gaiztoetan gaiztoenak;Teatro;02/11/2018;02/11/2018;10;Euskera;Azpeitia
7ak bat. Gaiztoetan gaiztoenak;Teatro;14/12/2018;14/12/2018;22;Euskera;Andoain
7ak bat. Gaiztoetan gaiztoenak;Teatro;01/12/2018;01/12/2018;22;Euskera;Leioa
7ak bat. Gaiztoetan gaiztoenak;Teatro;28/10/2018;28/10/2018;6;Euskera;Donostia / San Sebastian
7ak bat. Gaiztoetan gaiztoenak;Teatro;09/11/2018;09/11/2018;9;Euskera;Sopela
7D maquina de realidad virtual;Teatro;23/05/2018;23/05/2018;Gratis;Espanyol;Eibar
8 habitaciones;Teatro;08/03/2018;08/03/2018;Gratis;Espanyol;Bilbao
80 egunean;Proyeccion audiovisual;11/01/2018;11/01/2018;35;Euskera;Bermeo
80s Beat;Concierto;02/06/2018;02/06/2018;27;Espanyol;Deba
90º aniversario del lavadero;Exposicion;03/09/2018;01/04/2019;20;Espanyol;Donostia / San Sebastian
948 Merkatua - Mercado de las Artes de Navarra 2018;Festivales (Gazteinformazioa);21/11/2018;23/11/2018;10;Euskera / Espanyol;Pamplona/Irunya
948 Merkatua Pro: Miradas compartidas;Jornada;21/11/2018;23/11/2018;10;Espanyol;Pamplona/Irunya
A cal y canto;Teatro;10/06/2018;10/06/2018;Gratis;Espanyol;Vitoria-Gasteiz
A Contra Blues;Concierto;20/10/2018;20/10/2018;9;Espanyol;Ermua
